beta,delta,has_reversal,reversal_share
0.4,0.985,1,0.2
0.4,0.986,1,0.2
0.4,0.987,1,0.2
0.4,0.988,1,0.25
0.4,0.989,1,0.3
0.4,0.99,1,0.3
0.4,0.991,1,0.4
0.4,0.992,1,0.4
0.4,0.993,1,0.4
0.4,0.994,1,0.45
0.4,0.995,1,0.45
0.4,0.996,1,0.5
0.4,0.997,1,0.5
0.4,0.998,1,0.5
0.4,0.999,1,0.5
0.42000000000000004,0.985,1,0.2
0.42000000000000004,0.986,1,0.2
0.42000000000000004,0.987,1,0.2
0.42000000000000004,0.988,1,0.25
0.42000000000000004,0.989,1,0.3
0.42000000000000004,0.99,1,0.3
0.42000000000000004,0.991,1,0.4
0.42000000000000004,0.992,1,0.4
0.42000000000000004,0.993,1,0.4
0.42000000000000004,0.994,1,0.45
0.42000000000000004,0.995,1,0.45
0.42000000000000004,0.996,1,0.5
0.42000000000000004,0.997,1,0.5
0.42000000000000004,0.998,1,0.5
0.42000000000000004,0.999,1,0.5
0.44,0.985,1,0.2
0.44,0.986,1,0.2
0.44,0.987,1,0.2
0.44,0.988,1,0.25
0.44,0.989,1,0.3
0.44,0.99,1,0.3
0.44,0.991,1,0.4
0.44,0.992,1,0.4
0.44,0.993,1,0.4
0.44,0.994,1,0.45
0.44,0.995,1,0.45
0.44,0.996,1,0.5
0.44,0.997,1,0.5
0.44,0.998,1,0.5
0.44,0.999,1,0.5
0.46,0.985,1,0.2
0.46,0.986,1,0.2
0.46,0.987,1,0.2
0.46,0.988,1,0.25
0.46,0.989,1,0.3
0.46,0.99,1,0.3
0.46,0.991,1,0.4
0.46,0.992,1,0.4
0.46,0.993,1,0.4
0.46,0.994,1,0.45
0.46,0.995,1,0.45
0.46,0.996,1,0.5
0.46,0.997,1,0.5
0.46,0.998,1,0.5
0.46,0.999,1,0.5
0.48000000000000004,0.985,1,0.2
0.48000000000000004,0.986,1,0.2
0.48000000000000004,0.987,1,0.2
0.48000000000000004,0.988,1,0.25
0.48000000000000004,0.989,1,0.3
0.48000000000000004,0.99,1,0.3
0.48000000000000004,0.991,1,0.4
0.48000000000000004,0.992,1,0.4
0.48000000000000004,0.993,1,0.4
0.48000000000000004,0.994,1,0.45
0.48000000000000004,0.995,1,0.45
0.48000000000000004,0.996,1,0.5
0.48000000000000004,0.997,1,0.5
0.48000000000000004,0.998,1,0.5
0.48000000000000004,0.999,1,0.5
0.5,0.985,1,0.2
0.5,0.986,1,0.2
0.5,0.987,1,0.2
0.5,0.988,1,0.25
0.5,0.989,1,0.3
0.5,0.99,1,0.3
0.5,0.991,1,0.4
0.5,0.992,1,0.4
0.5,0.993,1,0.4
0.5,0.994,1,0.45
0.5,0.995,1,0.45
0.5,0.996,1,0.5
0.5,0.997,1,0.5
0.5,0.998,1,0.5
0.5,0.999,1,0.5
0.52,0.985,1,0.2
0.52,0.986,1,0.2
0.52,0.987,1,0.2
0.52,0.988,1,0.25
